"URN","LA (code)","LA (name)","EstablishmentNumber","EstablishmentName","TypeOfEstablishment (code)","TypeOfEstablishment (name)","EstablishmentTypeGroup (code)","EstablishmentTypeGroup (name)","EstablishmentStatus (code)","EstablishmentStatus (name)","ReasonEstablishmentOpened (code)","ReasonEstablishmentOpened (name)","OpenDate","ReasonEstablishmentClosed (code)","ReasonEstablishmentClosed (name)","CloseDate","PhaseOfEducation (code)","PhaseOfEducation (name)","StatutoryLowAge","StatutoryHighAge","Boarders (code)","Boarders (name)","NurseryProvision (name)","OfficialSixthForm (code)","OfficialSixthForm (name)","Gender (code)","Gender (name)","ReligiousCharacter (code)","ReligiousCharacter (name)","ReligiousEthos (name)","Diocese (code)","Diocese (name)","AdmissionsPolicy (code)","AdmissionsPolicy (name)","SchoolCapacity","SpecialClasses (code)","SpecialClasses (name)","CensusDate","NumberOfPupils","NumberOfBoys","NumberOfGirls","PercentageFSM","TrustSchoolFlag (code)","TrustSchoolFlag (name)","Trusts (code)","Trusts (name)","SchoolSponsorFlag (name)","SchoolSponsors (name)","FederationFlag (name)","Federations (code)","Federations (name)","UKPRN","FEHEIdentifier","FurtherEducationType (name)","OfstedLastInsp","OfstedSpecialMeasures (code)","OfstedSpecialMeasures (name)","LastChangedDate","Street","Locality","Address3","Town","County (name)","Postcode","SchoolWebsite","TelephoneNum","HeadTitle (name)","HeadFirstName","HeadLastName","HeadPreferredJobTitle","InspectorateName (name)","InspectorateReport","DateOfLastInspectionVisit","NextInspectionVisit","TeenMoth (name)","TeenMothPlaces","CCF (name)","SENPRU (name)","EBD (name)","PlacesPRU","FTProv (name)","EdByOther (name)","Section41Approved (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","SEN4 (name)","SEN5 (name)","SEN6 (name)","SEN7 (name)","SEN8 (name)","SEN9 (name)","SEN10 (name)","SEN11 (name)","SEN12 (name)","SEN13 (name)","TypeOfResourcedProvision (name)","ResourcedProvisionOnRoll","ResourcedProvisionCapacity","SenUnitOnRoll","SenUnitCapacity","GOR (code)","GOR (name)","DistrictAdministrative (code)","DistrictAdministrative (name)","AdministrativeWard (code)","AdministrativeWard (name)","ParliamentaryConstituency (code)","ParliamentaryConstituency (name)","UrbanRural (code)","UrbanRural (name)","GSSLACode (name)","Easting","Northing","CensusAreaStatisticWard (name)","MSOA (name)","LSOA (name)","Inspectorate (name)","SENStat","SENNoStat","BoardingEstablishment (name)","PropsName","PreviousLA (code)","PreviousLA (name)","PreviousEstablishmentNumber","OfstedRating (name)","RSCRegion (name)","Country (name)","UPRN","SiteName","MSOA (code)","LSOA (code)"
100000,"201","City of London","3614","Sir John Cass's Foundation Primary School","02","Voluntary aided school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","02","Church of England","Does not apply","CE23","Diocese of London","0","Not applicable",274,"2","No Special Classes","18-01-2018","284","144","140","11.3","0","Not applicable","","","Not applicable","","Not under a federation","","",10079319,"","Not applicable","19-04-2013","0","Not applicable","19-09-2018","St James's Passage","Duke's Place","","London","","EC3A 5DE","www.sirjohncassprimary.org","02072831147","Miss","Alexandra","Allan","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000001","City of London","E05009308","Portsoken","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",533498,181201,"","City of London 001","City of London 001F","","","","","","999","","","Outstanding","North-West London and South-Central England","","200000071925","","E02000001","E01032739"
100001,"201","City of London","6005","City of London School for Girls","11","Other independent school","3","Independent schools","1","Open","00","Not applicable","01-01-1920","00","Not applicable","","0","Not applicable",7,18,"1","No boarders","No Nursery Classes","1","Has a sixth form","2","Girls","06","None","Christian/non-denominational","0000","Not applicable","0","Not applicable",734,"2","No Special Classes","18-01-2018","732","0","732","","0","Not applicable","","","Not applicable","","Not applicable","","",10013279,"","Not applicable","","0","Not applicable","18-10-2018","St Giles' Terrace","Barbican","","London","","EC2Y 8BB","http://www.clsg.org.uk","02078475500","Mrs","Ena","Harrop","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","H","London","E09000001","City of London","E05009302","Cripplegate","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",532301,181746,"","City of London 001","City of London 001B","ISI",0,43,"Does not have boarders","","999","","","","North-West London and South-Central England","","200000074660","","E02000001","E01000002"
100002,"201","City of London","6006","St Paul's Cathedral School","11","Other independent school","3","Independent schools","1","Open","00","Not applicable","01-01-1939","00","Not applicable","","0","Not applicable",4,13,"3","Boarding school","No Nursery Classes","2","Does not have a sixth form","3","Mixed","02","Church of England","Christian","0000","Not applicable","0","Not applicable",250,"2","No Special Classes","18-01-2018","247","143","104","","0","Not applicable","","","Not applicable","","Not applicable","","",10018890,"","Not applicable","","0","Not applicable","18-10-2018","2 New Change","","","London","","EC4M 9AD","http://www.spcslondon.com","02072485156","Mr","Simon","Larter Evans","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","H","London","E09000001","City of London","E05009293","Bread Street","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",532160,181151,"","City of London 001","City of London 001F","ISI",0,18,"Has boarders","","999","","","","North-West London and South-Central England","","200000072075","","E02000001","E01032739"
100003,"201","City of London","6007","City of London School","11","Other independent school","3","Independent schools","1","Open","00","Not applicable","01-01-1919","00","Not applicable","","0","Not applicable",10,18,"1","No boarders","No Nursery Classes","1","Has a sixth form","1","Boys","06","None","None","0000","Not applicable","0","Not applicable",950,"2","No Special Classes","18-01-2018","920","920","0","","0","Not applicable","","","Not applicable","","Not applicable","","",10008165,"","Not applicable","","0","Not applicable","18-10-2018","Queen Victoria Street","","","London","","EC4V 3AL","http://www.cityoflondonschool.org.uk","02036806300","Mr","Alan","Bird","Head","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not approved","","","","","","","","","","","","","","","","","","","H","London","E09000001","City of London","E05009309","Queenhithe","E14000639","Cities of London and Westminster","A1","Urban major conurbation","E09000001",531981,180844,"","City of London 001","City of London 001F","ISI",0,101,"Does not have boarders","","999","","","","North-West London and South-Central England","","100022936607","","E02000001","E01032739"
100004,"202","Camden","1045","Sherborne Nursery School","15","Local authority nursery school","4","LA maintained schools","2","Closed","00","Not applicable","","00","Not applicable","31-08-1992","1","Nursery",3,5,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","","","","","","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","","0","Not applicable","24-09-2015","Priestly House","Athlone Street","","London","","NW5 4LP","","02074852375","","","","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000007","Camden","E05000136","Haverstock","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",528515,184869,"","Camden 007","Camden 007D","","","","","","999","","","","North-West London and South-Central England","","200163898","","E02000172","E01000901"
100005,"202","Camden","1048","Thomas Coram Centre","15","Local authority nursery school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","1","Nursery",3,5,"1","No boarders","Has Nursery Classes","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","18-01-2018","107","52","55","23.6","0","Not applicable","","","Not applicable","","Not under a federation","","","","","Not applicable","06-06-2014","0","Not applicable","19-09-2018","49 Mecklenburgh Square","","","London","","WC1N 2NY","http://www.thomascoram.camden.sch.uk/","02075200385","Ms","Perina","Holness","Head Teacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000007","Camden","E05000141","King's Cross","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",530464,182403,"","Camden 025","Camden 025B","","","","","","999","","","Outstanding","North-West London and South-Central England","","5088037","","E02000190","E01000937"
100006,"202","Camden","1100","CCfL Key Stage 4 PRU","14","Pupil referral unit","4","LA maintained schools","1","Open","00","Not applicable","01-09-1999","00","Not applicable","","0","Not applicable",14,16,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable","","0","Not applicable","18-01-2018","47","21","26","42.6","0","Not applicable","","","Not applicable","","Not applicable","","",10016665,"","Not applicable","29-11-2017","0","Not applicable","19-09-2018","Agincourt Road","","","London","","NW3 2NY","http://ccfl.camden.sch.uk","02079748906","Ms","Elizabeth","Rattue","Headteacher","Not applicable","","","","Does not provide places for Teen Mothers","","Does not have child care facilities","PRU Does have Provision for SEN","PRU Does not have EBD provision","","PRU offers full time provision","Does not offer tuition by another provider","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000007","Camden","E05000134","Gospel Oak","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",527663,185479,"","Camden 006","Camden 006B","","","","","","999","","","Good","North-West London and South-Central England","","5109310","","E02000171","E01000887"
100007,"202","Camden","1101","Camden Primary Pupil Referral Unit","14","Pupil referral unit","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","0","Not applicable",5,11,"1","No boarders","Not applicable","0","Not applicable","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",20,"0","Not applicable","18-01-2018","20","17","3","85","0","Not applicable","","","Not applicable","","Not applicable","","",10077053,"","Not applicable","15-05-2018","0","Not applicable","05-10-2018","Robson House,","74 Stanhope Street","","London","","NW1 3EX","http://www.robsonhouse.org.uk/main/","02037720370","Ms","Bavaani","Nanthabalan","Executive Head","Not applicable","","","","Not applicable","","Not applicable","PRU Does have Provision for SEN","PRU Does have EBD provision","","PRU offers full time provision","Not applicable","Not applicable","SEMH - Social, Emotional and Mental Health","","","","","","","","","","","","","SEN Unit","","",20,20,"H","London","E09000007","Camden","E05000142","Regent's Park","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",529082,182617,"","Camden 023","Camden 023B","","","","","","999","","","Good","North-West London and South-Central England","","10091911459","","E02000188","E01000945"
100008,"202","Camden","2019","Argyle Primary School","01","Community school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",432,"2","No Special Classes","18-01-2018","365","176","189","27.9","0","Not applicable","","","Not applicable","","Not under a federation","","",10078065,"","Not applicable","29-01-2015","0","Not applicable","19-09-2018","Tonbridge Street","","","London","","WC1H 9EG","http://www.argyle.camden.sch.uk/","02078374590","Ms","Jemima","Wade","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","","","","","","","","","","","","","","","","","","","H","London","E09000007","Camden","E05000141","King's Cross","E14000750","Holborn and St Pancras","A1","Urban major conurbation","E09000007",530238,182761,"","Camden 025","Camden 025C","","","","","","999","","","Good","North-West London and South-Central England","","5090707","","E02000190","E01000941"
100009,"202","Camden","2036","Beckford Primary School","01","Community school","4","LA maintained schools","1","Open","00","Not applicable","","00","Not applicable","","2","Primary",3,11,"1","No boarders","Has Nursery Classes","2","Does not have a sixth form","3","Mixed","00","Does not apply","Does not apply","0000","Not applicable","0","Not applicable",459,"2","No Special Classes","18-01-2018","439","209","230","27.3","0","Not applicable","","","Not applicable","","Not under a federation","","",10077183,"","Not applicable","24-01-2017","0","Not applicable","19-09-2018","Dornfell Street","West Hampstead","","London","","NW6 1QL","http://www.beckford.camden.sch.uk/","02074358646","Ms","S","Smith","Headteacher","Not applicable","","","","Not applicable","","Not applicable","Not applicable","Not applicable","","","Not applicable","Not applicable","PD - Physical Disability","","","","","","","","","","","","","Resource Provision","","","","","H","London","E09000007","Camden","E05000132","Fortune Green","E14000727","Hampstead and Kilburn","A1","Urban major conurbation","E09000007",524888,185067,"","Camden 005","Camden 005C","","","","","","999","","","Good","North-West London and South-Central England","","5090655","","E02000170","E01000873"
